0.01 0.01 0.02 0.03 0.05 0.08 0.13 
0.04 0.07 0.10 0.14 0.22 0.37 0.62 
0.02 0.04 0.05 0.08 0.12 0.20 0.32 
0.03 0.05 0.08 0.13 0.19 0.30 0.47 
0.02 0.03 0.04 0.06 0.09 0.15 0.22 
0.05 0.10 0.14 0.22 0.33 0.53 0.89 
0.03 0.05 0.07 0.10 0.14 0.25 0.40 
0.06 0.10 0.15 0.22 0.32 0.54 0.89 
0.03 0.06 0.09 0.12 0.18 0.31 0.51 
0.02 0.04 0.06 0.09 0.13 0.22 0.35 
0.08 0.13 0.18 0.26 0.36 0.64 1.02 
0.03 0.06 0.09 0.16 0.25 0.37 0.54 
0.09 0.14 0.20 0.30 0.45 0.77 1.25 
0.04 0.07 0.10 0.16 0.24 0.38 0.58 
0.04 0.06 0.09 0.13 0.19 0.34 0.57 
0.11 0.18 0.25 0.37 0.54 0.93 1.53 
