0.01 0.01 0.02 0.03 0.05 0.07 0.11 
0.04 0.06 0.09 0.14 0.20 0.34 0.53 
0.02 0.03 0.05 0.07 0.10 0.17 0.25 
0.03 0.05 0.07 0.11 0.16 0.26 0.39 
0.02 0.02 0.04 0.06 0.08 0.13 0.20 
0.05 0.09 0.14 0.20 0.28 0.49 0.76 
0.03 0.04 0.06 0.09 0.13 0.22 0.34 
0.05 0.09 0.14 0.19 0.27 0.45 0.74 
0.03 0.06 0.08 0.11 0.15 0.26 0.42 
0.02 0.04 0.06 0.08 0.12 0.20 0.30 
0.07 0.11 0.16 0.22 0.31 0.52 0.82 
0.03 0.06 0.09 0.14 0.22 0.31 0.45 
0.08 0.13 0.18 0.26 0.38 0.62 0.98 
0.04 0.06 0.09 0.14 0.20 0.30 0.45 
0.04 0.06 0.08 0.12 0.17 0.29 0.47 
0.10 0.16 0.22 0.32 0.46 0.76 1.22 
