 time       EAIS       Ross   Amundsen    Weddell  Peninsula
    1    0.00103    0.00042    0.00079    0.00114    0.00088
    2    0.00174    0.00207    0.00158    0.00230    0.00126
    3    0.00298    0.00275    0.00229    0.00356    0.00153
    4    0.00396    0.00323    0.00243    0.00462    0.00178
    5    0.00451    0.00426    0.00206    0.00486    0.00204
    6    0.00474    0.00442    0.00187    0.00627    0.00140
    7    0.00494    0.00491    0.00129    0.00745    0.00079
    8    0.00578    0.00504    0.00129    0.00851    0.00021
    9    0.00584    0.00516    0.00085    0.00892   -0.00034
   10    0.00554    0.00468   -0.00016    0.00923   -0.00053
   11    0.00600    0.00510   -0.00086    0.01033   -0.00172
   12    0.00609    0.00480   -0.00090    0.01136   -0.00233
   13    0.00662    0.00516   -0.00152    0.01169   -0.00314
   14    0.00706    0.00540   -0.00230    0.01217   -0.00375
   15    0.00784    0.00590   -0.00278    0.01266   -0.00488
   16    0.00793    0.00613   -0.00348    0.01276   -0.00579
   17    0.00774    0.00605   -0.00490    0.01370   -0.00687
   18    0.00781    0.00582   -0.00592    0.01425   -0.00820
   19    0.00750    0.00611   -0.00686    0.01527   -0.00869
   20    0.00787    0.00568   -0.00807    0.01481   -0.00996
   21    0.00823    0.00649   -0.00894    0.01616   -0.01129
   22    0.00855    0.00649   -0.01012    0.01572   -0.01272
   23    0.00803    0.00685   -0.01099    0.01635   -0.01412
   24    0.00826    0.00746   -0.01217    0.01681   -0.01455
   25    0.00870    0.00747   -0.01258    0.01707   -0.01617
   26    0.00868    0.00699   -0.01449    0.01836   -0.01749
   27    0.00834    0.00741   -0.01484    0.01869   -0.01890
   28    0.00884    0.00712   -0.01583    0.01900   -0.01988
   29    0.00901    0.00696   -0.01634    0.02016   -0.02157
   30    0.00943    0.00741   -0.01786    0.02106   -0.02260
   31    0.01031    0.00691   -0.01878    0.02214   -0.02360
   32    0.01026    0.00733   -0.02026    0.02188   -0.02539
   33    0.01012    0.00767   -0.02144    0.02294   -0.02635
