 time       EAIS       Ross   Amundsen    Weddell  Peninsula
   95   -0.09401   -0.09414   -0.11797   -0.07946   -0.12180
   96   -0.09485   -0.09498   -0.12061   -0.07993   -0.12361
   97   -0.09636   -0.09647   -0.12175   -0.08201   -0.12533
   98   -0.09706   -0.09792   -0.12427   -0.08356   -0.12654
   99   -0.09809   -0.09923   -0.12483   -0.08405   -0.12855
  100   -0.09916   -0.10052   -0.12640   -0.08574   -0.12995
  101   -0.10009   -0.10174   -0.12829   -0.08536   -0.13199
  102   -0.10214   -0.10332   -0.12996   -0.08653   -0.13341
  103   -0.10393   -0.10440   -0.13239   -0.08774   -0.13458
  104   -0.10486   -0.10537   -0.13374   -0.08881   -0.13703
  105   -0.10638   -0.10747   -0.13523   -0.08884   -0.13928
  106   -0.10728   -0.10869   -0.13700   -0.09089   -0.14077
  107   -0.10858   -0.10996   -0.13874   -0.09113   -0.14282
  108   -0.11035   -0.11116   -0.14064   -0.09150   -0.14357
  109   -0.11154   -0.11216   -0.14251   -0.09235   -0.14532
  110   -0.11219   -0.11297   -0.14372   -0.09304   -0.14764
  111   -0.11363   -0.11440   -0.14527   -0.09415   -0.14851
  112   -0.11449   -0.11560   -0.14755   -0.09616   -0.15068
  113   -0.11585   -0.11667   -0.14933   -0.09628   -0.15329
  114   -0.11711   -0.11743   -0.15142   -0.09694   -0.15427
  115   -0.11848   -0.11817   -0.15292   -0.09780   -0.15567
  116   -0.11961   -0.11926   -0.15503   -0.09880   -0.15723
  117   -0.12115   -0.12049   -0.15691   -0.09931   -0.15908
  118   -0.12186   -0.12212   -0.15842   -0.10138   -0.16166
  119   -0.12297   -0.12234   -0.15950   -0.10234   -0.16333
  120   -0.12437   -0.12364   -0.16199   -0.10339   -0.16559
  121   -0.12564   -0.12508   -0.16309   -0.10393   -0.16599
  122   -0.12690   -0.12658   -0.16493   -0.10412   -0.16756
  123   -0.12782   -0.12753   -0.16616   -0.10468   -0.16943
  124   -0.12895   -0.12884   -0.16780   -0.10606   -0.17114
  125   -0.13053   -0.13016   -0.17025   -0.10691   -0.17301
  126   -0.13208   -0.13135   -0.17161   -0.10820   -0.17496
  127   -0.13365   -0.13265   -0.17295   -0.10864   -0.17637
  128   -0.13483   -0.13340   -0.17516   -0.11097   -0.17893
  129   -0.13585   -0.13423   -0.17624   -0.11151   -0.18095
  130   -0.13727   -0.13515   -0.17791   -0.11203   -0.18295
  131   -0.13898   -0.13672   -0.17939   -0.11284   -0.18442
  132   -0.14037   -0.13810   -0.18105   -0.11380   -0.18608
  133   -0.14131   -0.13850   -0.18290   -0.11473   -0.18765
  134   -0.14244   -0.13964   -0.18437   -0.11618   -0.19031
  135   -0.14369   -0.13983   -0.18583   -0.11650   -0.19319
  136   -0.14512   -0.14055   -0.18795   -0.11751   -0.19413
  137   -0.14671   -0.14220   -0.18950   -0.11843   -0.19597
  138   -0.14777   -0.14367   -0.19168   -0.11958   -0.19755
  139   -0.14894   -0.14397   -0.19279   -0.12086   -0.19901
  140   -0.15056   -0.14696   -0.19402   -0.12191   -0.20110
  141   -0.15157   -0.14844   -0.19595   -0.12292   -0.20290
  142   -0.15253   -0.14792   -0.19797   -0.12398   -0.20462
  143   -0.15408   -0.14904   -0.19896   -0.12530   -0.20668
  144   -0.15579   -0.14918   -0.20067   -0.12676   -0.20854
  145   -0.15706   -0.15017   -0.20226   -0.12767   -0.21135
  146   -0.15871   -0.15067   -0.20490   -0.12927   -0.21291
  147   -0.16021   -0.15107   -0.20615   -0.12919   -0.21493
  148   -0.16115   -0.15264   -0.20774   -0.12993   -0.21686
  149   -0.16242   -0.15390   -0.20960   -0.13108   -0.21748
  150   -0.16341   -0.15454   -0.21066   -0.13262   -0.21903
  151   -0.16532   -0.15675   -0.21257   -0.13393   -0.22122
  152   -0.16618   -0.15702   -0.21428   -0.13490   -0.22337
  153   -0.16769   -0.15731   -0.21666   -0.13528   -0.22478
  154   -0.16878   -0.15890   -0.21712   -0.13700   -0.22688
  155   -0.17075   -0.16252   -0.21901   -0.13797   -0.22885
  156   -0.17237   -0.16564   -0.22094   -0.13868   -0.23021
  157   -0.17375   -0.16803   -0.22316   -0.13992   -0.23268
  158   -0.17466   -0.16808   -0.22494   -0.14133   -0.23377
  159   -0.17575   -0.16790   -0.22663   -0.14289   -0.23545
  160   -0.17688   -0.16801   -0.22805   -0.14334   -0.23732
  161   -0.17786   -0.16744   -0.22989   -0.14497   -0.23959
  162   -0.17909   -0.16648   -0.23103   -0.14597   -0.24083
  163   -0.18045   -0.16658   -0.23282   -0.14700   -0.24274
  164   -0.18140   -0.16757   -0.23493   -0.14832   -0.24437
  165   -0.18372   -0.16799   -0.23703   -0.14972   -0.24557
  166   -0.18468   -0.16979   -0.23820   -0.15066   -0.24796
  167   -0.18653   -0.16993   -0.24006   -0.15108   -0.24994
  168   -0.18724   -0.17181   -0.24175   -0.15260   -0.25155
  169   -0.18868   -0.17369   -0.24371   -0.15407   -0.25436
  170   -0.18987   -0.17206   -0.24560   -0.15454   -0.25595
  171   -0.19071   -0.17364   -0.24713   -0.15565   -0.25785
  172   -0.19166   -0.17391   -0.24863   -0.15658   -0.25887
  173   -0.19298   -0.17455   -0.25056   -0.15796   -0.26076
  174   -0.19482   -0.17533   -0.25306   -0.15835   -0.26267
  175   -0.19549   -0.17674   -0.25390   -0.15960   -0.26370
  176   -0.19723   -0.17702   -0.25541   -0.16123   -0.26576
  177   -0.19864   -0.17726   -0.25771   -0.16203   -0.26706
  178   -0.20007   -0.17819   -0.25876   -0.16313   -0.26936
  179   -0.20190   -0.17964   -0.26050   -0.16419   -0.27081
  180   -0.20298   -0.17957   -0.26268   -0.16464   -0.27223
  181   -0.20360   -0.18188   -0.26442   -0.16585   -0.27447
  182   -0.20548   -0.18119   -0.26548   -0.16667   -0.27585
  183   -0.20625   -0.18295   -0.26759   -0.16724   -0.27774
  184   -0.20750   -0.18272   -0.26913   -0.16781   -0.27938
  185   -0.20887   -0.18321   -0.27123   -0.16881   -0.28104
  186   -0.21065   -0.18458   -0.27321   -0.17064   -0.28271
  187   -0.21223   -0.18454   -0.27484   -0.17128   -0.28435
  188   -0.21392   -0.18492   -0.27655   -0.17188   -0.28641
  189   -0.21518   -0.18623   -0.27854   -0.17285   -0.28874
  190   -0.21665   -0.18687   -0.27967   -0.17324   -0.28963
  191   -0.21778   -0.18810   -0.28121   -0.17486   -0.29158
  192   -0.21946   -0.18836   -0.28246   -0.17529   -0.29327
  193   -0.22055   -0.18912   -0.28438   -0.17653   -0.29513
  194   -0.22226   -0.19082   -0.28650   -0.17688   -0.29690
  195   -0.22297   -0.19085   -0.28780   -0.17710   -0.29832
  196   -0.22486   -0.19216   -0.28975   -0.17862   -0.30055
  197   -0.22613   -0.19270   -0.29173   -0.17925   -0.30159
  198   -0.22738   -0.19299   -0.29283   -0.17982   -0.30358
  199   -0.22862   -0.19373   -0.29487   -0.18054   -0.30503
  200   -0.23041   -0.19486   -0.29662   -0.18132   -0.30631
