 time       EAIS       Ross   Amundsen    Weddell  Peninsula
    1    0.00089    0.00112    0.00079    0.00108    0.00103
    2    0.00148    0.00116    0.00111    0.00138    0.00127
    3    0.00213    0.00154    0.00155    0.00230    0.00187
    4    0.00266    0.00180    0.00171    0.00255    0.00212
    5    0.00284    0.00218    0.00175    0.00253    0.00209
    6    0.00300    0.00248    0.00154    0.00214    0.00239
    7    0.00299    0.00220    0.00033    0.00302    0.00182
    8    0.00264    0.00180    0.00022    0.00250    0.00098
    9    0.00247    0.00183   -0.00026    0.00224    0.00029
   10    0.00177    0.00098   -0.00080    0.00226   -0.00034
   11    0.00139    0.00009   -0.00214    0.00128   -0.00040
   12    0.00048   -0.00037   -0.00303    0.00103   -0.00129
   13    0.00047   -0.00113   -0.00359    0.00084   -0.00235
   14   -0.00107   -0.00194   -0.00406    0.00013   -0.00229
   15   -0.00164   -0.00338   -0.00489   -0.00075   -0.00367
   16   -0.00171   -0.00345   -0.00569   -0.00161   -0.00370
   17   -0.00295   -0.00454   -0.00676   -0.00264   -0.00452
   18   -0.00365   -0.00563   -0.00885   -0.00346   -0.00580
   19   -0.00493   -0.00668   -0.00963   -0.00428   -0.00652
   20   -0.00635   -0.00693   -0.01089   -0.00501   -0.00739
   21   -0.00757   -0.00837   -0.01151   -0.00603   -0.00902
   22   -0.00821   -0.00929   -0.01299   -0.00687   -0.01014
   23   -0.00945   -0.01044   -0.01321   -0.00758   -0.01112
   24   -0.01059   -0.01157   -0.01459   -0.00896   -0.01274
   25   -0.01084   -0.01233   -0.01595   -0.00927   -0.01421
   26   -0.01180   -0.01346   -0.01700   -0.00999   -0.01513
   27   -0.01363   -0.01427   -0.01811   -0.01103   -0.01678
   28   -0.01438   -0.01571   -0.01895   -0.01236   -0.01741
   29   -0.01555   -0.01638   -0.01984   -0.01265   -0.01878
   30   -0.01651   -0.01778   -0.02186   -0.01383   -0.01977
   31   -0.01679   -0.01861   -0.02201   -0.01473   -0.02124
   32   -0.01858   -0.01952   -0.02331   -0.01577   -0.02165
   33   -0.01886   -0.02024   -0.02466   -0.01737   -0.02323
   34   -0.02027   -0.02131   -0.02611   -0.01857   -0.02466
   35   -0.02166   -0.02215   -0.02782   -0.01830   -0.02656
   36   -0.02245   -0.02349   -0.02845   -0.01903   -0.02757
   37   -0.02328   -0.02480   -0.02996   -0.02061   -0.02868
   38   -0.02448   -0.02582   -0.03086   -0.02163   -0.03032
   39   -0.02602   -0.02667   -0.03231   -0.02163   -0.03186
   40   -0.02668   -0.02795   -0.03395   -0.02278   -0.03361
   41   -0.02814   -0.02960   -0.03516   -0.02358   -0.03491
   42   -0.02915   -0.03041   -0.03632   -0.02466   -0.03587
   43   -0.03048   -0.03099   -0.03757   -0.02593   -0.03747
   44   -0.03230   -0.03229   -0.03893   -0.02711   -0.03903
   45   -0.03307   -0.03344   -0.04076   -0.02959   -0.04141
   46   -0.03446   -0.03498   -0.04178   -0.03004   -0.04306
   47   -0.03499   -0.03629   -0.04399   -0.03084   -0.04411
   48   -0.03568   -0.03770   -0.04544   -0.03126   -0.04566
   49   -0.03663   -0.03926   -0.04732   -0.03200   -0.04802
   50   -0.03761   -0.03991   -0.04796   -0.03290   -0.04923
   51   -0.03970   -0.04105   -0.04929   -0.03381   -0.05071
   52   -0.04047   -0.04333   -0.05037   -0.03523   -0.05249
   53   -0.04136   -0.04367   -0.05214   -0.03556   -0.05370
   54   -0.04251   -0.04504   -0.05348   -0.03630   -0.05554
   55   -0.04342   -0.04652   -0.05533   -0.03804   -0.05733
   56   -0.04492   -0.04740   -0.05672   -0.03891   -0.05893
   57   -0.04646   -0.04862   -0.05852   -0.03991   -0.06124
   58   -0.04748   -0.04996   -0.05978   -0.04088   -0.06225
   59   -0.04906   -0.05096   -0.06072   -0.04249   -0.06412
   60   -0.04934   -0.05224   -0.06260   -0.04376   -0.06517
   61   -0.05101   -0.05317   -0.06443   -0.04504   -0.06693
   62   -0.05290   -0.05471   -0.06607   -0.04678   -0.06792
   63   -0.05365   -0.05517   -0.06849   -0.04818   -0.06948
   64   -0.05490   -0.05681   -0.07006   -0.04952   -0.07135
   65   -0.05669   -0.05774   -0.07082   -0.05155   -0.07322
   66   -0.05763   -0.05951   -0.07228   -0.05148   -0.07437
   67   -0.05928   -0.06051   -0.07348   -0.05246   -0.07651
   68   -0.06042   -0.06124   -0.07495   -0.05383   -0.07760
   69   -0.06130   -0.06233   -0.07665   -0.05603   -0.07952
   70   -0.06273   -0.06417   -0.07794   -0.05738   -0.08100
   71   -0.06349   -0.06558   -0.07981   -0.05588   -0.08247
   72   -0.06517   -0.06682   -0.08151   -0.05776   -0.08434
   73   -0.06602   -0.06810   -0.08372   -0.05867   -0.08559
   74   -0.06748   -0.06930   -0.08450   -0.06116   -0.08783
   75   -0.06882   -0.07094   -0.08613   -0.06290   -0.08917
   76   -0.07046   -0.07135   -0.08723   -0.06375   -0.09044
   77   -0.07162   -0.07213   -0.08913   -0.06418   -0.09146
   78   -0.07190   -0.07317   -0.09069   -0.06520   -0.09310
   79   -0.07333   -0.07488   -0.09231   -0.06637   -0.09457
   80   -0.07446   -0.07643   -0.09335   -0.06786   -0.09660
   81   -0.07580   -0.07865   -0.09473   -0.06703   -0.09815
   82   -0.07718   -0.07905   -0.09692   -0.06812   -0.09999
   83   -0.07835   -0.07993   -0.09891   -0.06923   -0.10180
   84   -0.07979   -0.08141   -0.10009   -0.07062   -0.10302
   85   -0.08170   -0.08244   -0.10177   -0.07213   -0.10546
   86   -0.08327   -0.08403   -0.10351   -0.07324   -0.10687
   87   -0.08466   -0.08528   -0.10501   -0.07373   -0.10870
   88   -0.08569   -0.08682   -0.10637   -0.07434   -0.11000
   89   -0.08687   -0.08777   -0.10857   -0.07427   -0.11185
   90   -0.08801   -0.08827   -0.10956   -0.07576   -0.11333
   91   -0.08951   -0.09016   -0.11158   -0.07655   -0.11531
   92   -0.09035   -0.09111   -0.11347   -0.07802   -0.11711
   93   -0.09170   -0.09226   -0.11482   -0.07819   -0.11885
   94   -0.09267   -0.09311   -0.11625   -0.07921   -0.12049
