 time       EAIS       Ross   Amundsen    Weddell  Peninsula
    1    0.00120    0.00060    0.00073    0.00129    0.00129
    2    0.00207    0.00114    0.00111    0.00130    0.00133
    3    0.00256    0.00192    0.00131    0.00220    0.00109
    4    0.00276    0.00191    0.00140    0.00283    0.00192
    5    0.00326    0.00240    0.00162    0.00368    0.00171
    6    0.00329    0.00228    0.00138    0.00343    0.00193
    7    0.00222    0.00240    0.00108    0.00409    0.00133
    8    0.00292    0.00162    0.00063    0.00400    0.00071
    9    0.00238    0.00144   -0.00036    0.00400    0.00060
   10    0.00259    0.00111   -0.00066    0.00401   -0.00019
   11    0.00230    0.00071   -0.00093    0.00378   -0.00113
   12    0.00182   -0.00010   -0.00184    0.00362   -0.00117
   13    0.00185   -0.00037   -0.00195    0.00387   -0.00249
   14    0.00237   -0.00051   -0.00311    0.00387   -0.00362
   15    0.00162   -0.00079   -0.00430    0.00343   -0.00463
   16    0.00137   -0.00119   -0.00520    0.00293   -0.00528
   17    0.00022   -0.00168   -0.00584    0.00208   -0.00636
   18   -0.00004   -0.00254   -0.00729    0.00200   -0.00717
   19   -0.00020   -0.00301   -0.00792    0.00096   -0.00885
   20   -0.00078   -0.00413   -0.00848    0.00064   -0.01001
   21   -0.00094   -0.00441   -0.01016    0.00069   -0.01137
   22   -0.00211   -0.00537   -0.01119   -0.00009   -0.01229
   23   -0.00238   -0.00645   -0.01213   -0.00039   -0.01343
   24   -0.00338   -0.00734   -0.01350   -0.00035   -0.01447
   25   -0.00436   -0.00777   -0.01388   -0.00089   -0.01607
   26   -0.00428   -0.00913   -0.01500   -0.00242   -0.01757
   27   -0.00536   -0.00896   -0.01635   -0.00280   -0.01836
   28   -0.00625   -0.00914   -0.01713   -0.00351   -0.01997
   29   -0.00624   -0.01015   -0.01802   -0.00345   -0.02100
   30   -0.00722   -0.01058   -0.01924   -0.00473   -0.02204
   31   -0.00765   -0.01025   -0.02047   -0.00475   -0.02346
   32   -0.00891   -0.01135   -0.02169   -0.00488   -0.02492
   33   -0.00938   -0.01261   -0.02295   -0.00512   -0.02646
   34   -0.00934   -0.01360   -0.02402   -0.00567   -0.02719
   35   -0.01054   -0.01377   -0.02542   -0.00518   -0.02881
   36   -0.01005   -0.01523   -0.02640   -0.00525   -0.03002
   37   -0.01112   -0.01560   -0.02817   -0.00567   -0.03116
   38   -0.01177   -0.01659   -0.02935   -0.00568   -0.03267
   39   -0.01211   -0.01682   -0.03045   -0.00634   -0.03356
   40   -0.01304   -0.01794   -0.03151   -0.00727   -0.03525
   41   -0.01412   -0.01836   -0.03372   -0.00663   -0.03668
   42   -0.01507   -0.01978   -0.03509   -0.00680   -0.03765
   43   -0.01484   -0.02035   -0.03565   -0.00689   -0.03930
   44   -0.01535   -0.02064   -0.03778   -0.00802   -0.04095
   45   -0.01682   -0.02172   -0.03858   -0.00795   -0.04230
   46   -0.01794   -0.02291   -0.03994   -0.00849   -0.04414
   47   -0.01876   -0.02342   -0.04144   -0.00763   -0.04535
   48   -0.01904   -0.02382   -0.04276   -0.00936   -0.04655
   49   -0.02009   -0.02512   -0.04465   -0.00848   -0.04771
   50   -0.02131   -0.02593   -0.04517   -0.00939   -0.04941
   51   -0.02175   -0.02665   -0.04723   -0.00968   -0.05081
   52   -0.02261   -0.02809   -0.04877   -0.00980   -0.05309
   53   -0.02264   -0.02914   -0.04992   -0.01111   -0.05373
   54   -0.02441   -0.03047   -0.05157   -0.01012   -0.05527
   55   -0.02470   -0.03043   -0.05282   -0.01000   -0.05644
   56   -0.02509   -0.03196   -0.05366   -0.01146   -0.05811
   57   -0.02539   -0.03246   -0.05519   -0.01097   -0.06052
   58   -0.02627   -0.03220   -0.05676   -0.01147   -0.06165
   59   -0.02698   -0.03264   -0.05817   -0.01074   -0.06402
   60   -0.02718   -0.03353   -0.05953   -0.01206   -0.06539
   61   -0.02748   -0.03408   -0.06144   -0.01141   -0.06639
   62   -0.02830   -0.03507   -0.06243   -0.01145   -0.06773
   63   -0.02963   -0.03563   -0.06376   -0.01173   -0.06939
   64   -0.03046   -0.03576   -0.06592   -0.01176   -0.07081
   65   -0.03076   -0.03717   -0.06702   -0.01215   -0.07207
   66   -0.03118   -0.03693   -0.06832   -0.01273   -0.07445
   67   -0.03184   -0.03765   -0.06952   -0.01228   -0.07564
   68   -0.03296   -0.03891   -0.07119   -0.01254   -0.07676
   69   -0.03371   -0.03864   -0.07232   -0.01252   -0.07873
   70   -0.03419   -0.03908   -0.07373   -0.01283   -0.08045
   71   -0.03553   -0.03918   -0.07486   -0.01315   -0.08186
   72   -0.03633   -0.03946   -0.07627   -0.01323   -0.08326
   73   -0.03634   -0.04050   -0.07783   -0.01341   -0.08498
   74   -0.03737   -0.04073   -0.07939   -0.01357   -0.08667
   75   -0.03759   -0.04095   -0.08076   -0.01373   -0.08851
   76   -0.03850   -0.04025   -0.08217   -0.01381   -0.08988
   77   -0.03947   -0.04150   -0.08414   -0.01411   -0.09178
