 time       EAIS       Ross   Amundsen    Weddell  Peninsula
    1    0.00145    0.00103    0.00137    0.00189    0.00084
    2    0.00222    0.00260    0.00168    0.00331    0.00076
    3    0.00360    0.00413    0.00188    0.00578    0.00187
    4    0.00478    0.00489    0.00222    0.00765    0.00150
    5    0.00580    0.00590    0.00243    0.00945    0.00116
    6    0.00613    0.00750    0.00245    0.01116    0.00122
    7    0.00790    0.00772    0.00227    0.01255    0.00060
    8    0.00903    0.00933    0.00202    0.01441    0.00066
    9    0.00965    0.01052    0.00169    0.01527   -0.00007
   10    0.01128    0.01154    0.00103    0.01727   -0.00102
   11    0.01206    0.01145    0.00024    0.01803   -0.00120
   12    0.01314    0.01323   -0.00011    0.02033   -0.00187
   13    0.01414    0.01450   -0.00083    0.02116   -0.00256
   14    0.01501    0.01484   -0.00158    0.02327   -0.00323
   15    0.01576    0.01613   -0.00234    0.02462   -0.00451
   16    0.01645    0.01830   -0.00297    0.02683   -0.00506
   17    0.01750    0.01987   -0.00408    0.02805   -0.00604
   18    0.01882    0.02166   -0.00480    0.03014   -0.00765
   19    0.01943    0.02183   -0.00568    0.03234   -0.00879
   20    0.02088    0.02327   -0.00687    0.03419   -0.00924
   21    0.02092    0.02558   -0.00802    0.03612   -0.01056
   22    0.02275    0.02753   -0.00904    0.03892   -0.01194
   23    0.02344    0.02936   -0.00982    0.04114   -0.01326
   24    0.02435    0.03244   -0.01063    0.04265   -0.01427
   25    0.02535    0.03419   -0.01166    0.04394   -0.01547
   26    0.02661    0.03427   -0.01237    0.04658   -0.01667
   27    0.02765    0.03696   -0.01335    0.04918   -0.01783
   28    0.02900    0.03849   -0.01414    0.05079   -0.01905
   29    0.02993    0.04147   -0.01481    0.05161   -0.02011
   30    0.03129    0.04323   -0.01571    0.05273   -0.02118
   31    0.03204    0.04539   -0.01666    0.05498   -0.02235
   32    0.03261    0.04749   -0.01758    0.05647   -0.02414
   33    0.03415    0.04970   -0.01877    0.05793   -0.02574
   34    0.03541    0.05157   -0.01987    0.05919   -0.02671
   35    0.03559    0.05384   -0.02114    0.06124   -0.02780
   36    0.03683    0.05617   -0.02181    0.06308   -0.02889
   37    0.03746    0.05826   -0.02263    0.06568   -0.03089
   38    0.03860    0.05928   -0.02366    0.06795   -0.03265
   39    0.04033    0.06175   -0.02456    0.06971   -0.03371
   40    0.04084    0.06359   -0.02565    0.07226   -0.03545
   41    0.04134    0.06504   -0.02654    0.07421   -0.03654
   42    0.04235    0.06571   -0.02755    0.07532   -0.03876
   43    0.04251    0.06771   -0.02879    0.07733   -0.04038
   44    0.04470    0.06935   -0.02988    0.07915   -0.04086
   45    0.04519    0.07139   -0.03097    0.07945   -0.04199
   46    0.04612    0.07255   -0.03234    0.08191   -0.04351
   47    0.04651    0.07435   -0.03373    0.08357   -0.04536
   48    0.04735    0.07577   -0.03501    0.08389   -0.04644
   49    0.04802    0.07730   -0.03605    0.08617   -0.04778
   50    0.04912    0.07886   -0.03745    0.08805   -0.04977
   51    0.04963    0.07947   -0.03847    0.08848   -0.05133
   52    0.04982    0.08050   -0.03989    0.09047   -0.05280
   53    0.05034    0.08137   -0.04149    0.09248   -0.05446
   54    0.05033    0.08304   -0.04246    0.09348   -0.05594
   55    0.05128    0.08407   -0.04372    0.09441   -0.05800
   56    0.05181    0.08547   -0.04541    0.09598   -0.05940
   57    0.05202    0.08651   -0.04644    0.09848   -0.06153
   58    0.05175    0.08808   -0.04768    0.09757   -0.06328
   59    0.05241    0.08926   -0.04908    0.09995   -0.06484
   60    0.05277    0.09103   -0.05052    0.10116   -0.06611
   61    0.05277    0.09124   -0.05181    0.10106   -0.06760
   62    0.05319    0.09255   -0.05300    0.10229   -0.06911
   63    0.05300    0.09434   -0.05426    0.10340   -0.07151
   64    0.05332    0.09612   -0.05570    0.10421   -0.07332
   65    0.05326    0.09694   -0.05711    0.10534   -0.07450
   66    0.05325    0.09770   -0.05851    0.10585   -0.07612
   67    0.05383    0.10043   -0.06000    0.10661   -0.07819
   68    0.05347    0.10182   -0.06130    0.10720   -0.08013
   69    0.05383    0.10273   -0.06286    0.10818   -0.08132
   70    0.05411    0.10411   -0.06390    0.10945   -0.08289
   71    0.05423    0.10510   -0.06539    0.11002   -0.08464
   72    0.05408    0.10599   -0.06672    0.11084   -0.08673
   73    0.05403    0.10878   -0.06769    0.11149   -0.08836
   74    0.05303    0.11021   -0.06884    0.11240   -0.09002
   75    0.05359    0.11160   -0.07020    0.11321   -0.09100
   76    0.05309    0.11322   -0.07151    0.11415   -0.09294
   77    0.05300    0.11472   -0.07283    0.11497   -0.09466
   78    0.05321    0.11618   -0.07428    0.11681   -0.09651
