 time       EAIS       Ross   Amundsen    Weddell  Peninsula
   79    0.05266    0.11766   -0.07569    0.11720   -0.09813
   80    0.05281    0.11981   -0.07702    0.11833   -0.09960
   81    0.05219    0.12090   -0.07830    0.11933   -0.10162
   82    0.05248    0.12308   -0.07950    0.12018   -0.10311
   83    0.05298    0.12469   -0.08118    0.12120   -0.10430
   84    0.05321    0.12565   -0.08256    0.12228   -0.10657
   85    0.05281    0.12744   -0.08383    0.12281   -0.10779
   86    0.05324    0.12907   -0.08495    0.12412   -0.11025
   87    0.05342    0.13091   -0.08639    0.12498   -0.11177
   88    0.05345    0.13164   -0.08786    0.12590   -0.11352
   89    0.05329    0.13342   -0.08907    0.12770   -0.11532
   90    0.05343    0.13536   -0.09022    0.12870   -0.11691
   91    0.05309    0.13722   -0.09158    0.12958   -0.11863
   92    0.05392    0.13920   -0.09313    0.13008   -0.12033
   93    0.05460    0.14121   -0.09464    0.13101   -0.12211
   94    0.05438    0.14236   -0.09618    0.13206   -0.12353
   95    0.05470    0.14482   -0.09754    0.13254   -0.12539
   96    0.05397    0.14646   -0.09878    0.13401   -0.12749
   97    0.05443    0.14838   -0.10019    0.13445   -0.12877
   98    0.05388    0.15120   -0.10158    0.13581   -0.12995
   99    0.05445    0.15314   -0.10302    0.13658   -0.13186
  100    0.05414    0.15501   -0.10419    0.13771   -0.13391
  101    0.05355    0.15696   -0.10574    0.13818   -0.13591
  102    0.05351    0.15926   -0.10721    0.13949   -0.13724
  103    0.05364    0.16131   -0.10870    0.14008   -0.13960
  104    0.05367    0.16343   -0.11029    0.14173   -0.14045
  105    0.05284    0.16519   -0.11202    0.14396   -0.14251
  106    0.05195    0.16707   -0.11348    0.14492   -0.14454
  107    0.05233    0.16915   -0.11496    0.14621   -0.14666
  108    0.05227    0.17055   -0.11650    0.14728   -0.14847
  109    0.05162    0.17215   -0.11819    0.14864   -0.15012
  110    0.05082    0.17393   -0.11997    0.14910   -0.15166
  111    0.05031    0.17588   -0.12148    0.15091   -0.15408
  112    0.04935    0.17665   -0.12296    0.15189   -0.15571
  113    0.04871    0.17822   -0.12470    0.15174   -0.15716
  114    0.04801    0.17891   -0.12644    0.15386   -0.15866
  115    0.04745    0.18020   -0.12806    0.15492   -0.16093
  116    0.04612    0.18080   -0.12937    0.15591   -0.16243
  117    0.04587    0.18240   -0.13092    0.15598   -0.16396
  118    0.04566    0.18421   -0.13263    0.15802   -0.16561
  119    0.04526    0.18563   -0.13430    0.15888   -0.16731
  120    0.04435    0.18677   -0.13600    0.15965   -0.16870
  121    0.04394    0.18844   -0.13784    0.16173   -0.17027
  122    0.04340    0.19035   -0.13968    0.16247   -0.17153
  123    0.04292    0.19121   -0.14125    0.16223   -0.17340
  124    0.04192    0.19247   -0.14292    0.16388   -0.17543
  125    0.04158    0.19365   -0.14431    0.16449   -0.17680
  126    0.04029    0.19510   -0.14591    0.16625   -0.17788
  127    0.03996    0.19572   -0.14762    0.16704   -0.17975
  128    0.03956    0.19691   -0.14930    0.16835   -0.18136
  129    0.03920    0.19774   -0.15085    0.16901   -0.18425
  130    0.03812    0.19843   -0.15253    0.16956   -0.18538
  131    0.03787    0.19960   -0.15412    0.17064   -0.18679
  132    0.03732    0.20047   -0.15577    0.17205   -0.18808
  133    0.03690    0.20247   -0.15761    0.17211   -0.18987
  134    0.03616    0.20330   -0.15949    0.17350   -0.19166
  135    0.03578    0.20537   -0.16138    0.17441   -0.19269
  136    0.03527    0.20559   -0.16311    0.17515   -0.19473
  137    0.03466    0.20586   -0.16497    0.17546   -0.19718
  138    0.03343    0.20695   -0.16642    0.17709   -0.19811
  139    0.03255    0.20748   -0.16770    0.17876   -0.19978
  140    0.03223    0.20766   -0.16937    0.18043   -0.20142
  141    0.03096    0.20922   -0.17081    0.18087   -0.20344
  142    0.03075    0.21016   -0.17245    0.18132   -0.20567
  143    0.03151    0.21065   -0.17428    0.18206   -0.20715
  144    0.03051    0.21129   -0.17570    0.18317   -0.20962
  145    0.03018    0.21205   -0.17740    0.18430   -0.21126
  146    0.02955    0.21180   -0.17917    0.18507   -0.21271
  147    0.02891    0.21366   -0.18058    0.18520   -0.21481
  148    0.02787    0.21341   -0.18245    0.18554   -0.21635
  149    0.02735    0.21439   -0.18421    0.18646   -0.21769
  150    0.02632    0.21515   -0.18568    0.18730   -0.21978
  151    0.02619    0.21533   -0.18726    0.18831   -0.22206
  152    0.02505    0.21596   -0.18880    0.18928   -0.22337
  153    0.02476    0.21651   -0.19017    0.19021   -0.22519
  154    0.02432    0.21668   -0.19173    0.19030   -0.22709
  155    0.02354    0.21772   -0.19355    0.19081   -0.22880
  156    0.02267    0.21899   -0.19524    0.19166   -0.23091
  157    0.02180    0.21947   -0.19701    0.19290   -0.23155
  158    0.02139    0.22029   -0.19858    0.19317   -0.23404
  159    0.02061    0.22033   -0.20014    0.19363   -0.23617
  160    0.02044    0.22119   -0.20169    0.19484   -0.23846
  161    0.01947    0.22147   -0.20334    0.19633   -0.23955
  162    0.01887    0.22144   -0.20465    0.19744   -0.24171
  163    0.01854    0.22190   -0.20605    0.19891   -0.24329
  164    0.01805    0.22284   -0.20728    0.19970   -0.24446
  165    0.01764    0.22408   -0.20841    0.20085   -0.24590
  166    0.01579    0.22491   -0.21014    0.20221   -0.24785
  167    0.01532    0.22563   -0.21158    0.20313   -0.24983
  168    0.01591    0.22721   -0.21318    0.20496   -0.25149
  169    0.01538    0.22833   -0.21460    0.20619   -0.25393
  170    0.01423    0.22919   -0.21617    0.20758   -0.25543
  171    0.01420    0.23028   -0.21768    0.20876   -0.25697
  172    0.01284    0.23118   -0.21934    0.20930   -0.25855
  173    0.01237    0.23230   -0.22084    0.20997   -0.26008
  174    0.01211    0.23289   -0.22218    0.21146   -0.26190
  175    0.01059    0.23386   -0.22356    0.21186   -0.26428
  176    0.01047    0.23496   -0.22495    0.21244   -0.26606
  177    0.00961    0.23578   -0.22621    0.21320   -0.26736
  178    0.01004    0.23718   -0.22763    0.21410   -0.26934
  179    0.00938    0.23855   -0.22909    0.21441   -0.27098
  180    0.00813    0.23618   -0.23046    0.21483   -0.27269
  181    0.00768    0.23815   -0.23173    0.21553   -0.27382
  182    0.00755    0.23879   -0.23319    0.21659   -0.27612
  183    0.00758    0.23886   -0.23475    0.21661   -0.27825
  184    0.00677    0.23889   -0.23599    0.21755   -0.28003
  185    0.00636    0.24069   -0.23728    0.21775   -0.28121
  186    0.00528    0.23621   -0.23863    0.21863   -0.28329
  187    0.00495    0.23865   -0.23973    0.21907   -0.28460
  188    0.00369    0.23959   -0.24094    0.21977   -0.28697
  189    0.00314    0.23438   -0.24241    0.22073   -0.28823
  190    0.00278    0.23660   -0.24391    0.22194   -0.28997
  191    0.00117    0.23701   -0.24526    0.22236   -0.29226
  192    0.00139    0.23816   -0.24641    0.22308   -0.29385
  193    0.00090    0.23907   -0.24789    0.22419   -0.29570
  194    0.00022    0.23924   -0.24934    0.22431   -0.29773
  195    0.00005    0.23792   -0.25069    0.22456   -0.29916
  196    0.00010    0.23871   -0.25196    0.22526   -0.30104
  197   -0.00111    0.24076   -0.25327    0.22558   -0.30362
  198   -0.00169    0.24210   -0.25459    0.22627   -0.30461
  199   -0.00264    0.24335   -0.25621    0.22629   -0.30666
  200   -0.00325    0.24448   -0.25723    0.22713   -0.30814
