0.04 0.06 0.08 0.13 0.19 0.33 0.55 
0.05 0.08 0.11 0.17 0.27 0.46 0.76 
0.03 0.04 0.06 0.10 0.16 0.27 0.43 
0.04 0.06 0.09 0.15 0.23 0.39 0.65 
0.02 0.03 0.04 0.07 0.11 0.18 0.28 
0.06 0.11 0.17 0.26 0.42 0.70 1.23 
0.03 0.05 0.08 0.12 0.18 0.31 0.51 
0.07 0.12 0.18 0.27 0.41 0.71 1.19 
0.04 0.07 0.10 0.15 0.23 0.40 0.68 
0.03 0.05 0.07 0.11 0.17 0.30 0.47 
0.10 0.15 0.22 0.32 0.47 0.83 1.43 
0.04 0.07 0.11 0.19 0.31 0.48 0.71 
0.11 0.17 0.24 0.38 0.60 1.03 1.74 
0.06 0.08 0.12 0.20 0.31 0.51 0.83 
0.10 0.14 0.20 0.33 0.50 0.86 1.41 
0.14 0.22 0.30 0.46 0.70 1.25 2.12 
