2000	1.5498329148e-05
2005	0.071603667768
2010	0.157510262416
2015	0.260328440335
2020	0.373046031015
2025	0.471467885243
2030	0.567287671741
2035	0.663587593677
2040	0.758300114412
2045	0.848471686164
2050	0.935251990377
2055	1.02195524252
2060	1.10567469395
2065	1.18527910232
2070	1.2696407488
2075	1.35347181085
2080	1.43283207693
2085	1.5121317096
2090	1.59001294491
2095	1.66642589052
2100	1.74504794996
2105	1.82003597505
2110	1.89334872552
2115	1.966025569
2120	2.03558225352
2125	2.10782421393
2130	2.18072048818
2135	2.25509088068
2140	2.32731680198
2145	2.40248111819
2150	2.47306092659
2155	2.5373937865
2160	2.60085376591
2165	2.663753202
2170	2.72859066893
2175	2.79139645059
2180	2.85373187216
2185	2.91699837783
2190	2.98403176949
2195	3.05168859639
2200	3.11486646078
